ErrDBDriverError,[10001:database:not-set:high],"database driver error"
ErrConfigMetaNoBinlogName,[20118:config:internal:medium],"binlog-name must specify"
ErrConfigMySQLInstNotFound,[20119:config:internal:medium],"mysql instance config must specify"
ErrConfigMySQLInstsAtLeastOne,[20120:config:internal:medium],"must specify at least one mysql-instances"
ErrConfigMySQLInstSameSourceID,[20121:config:internal:medium],"mysql-instance (%d) and (%d) have same source-id (%s)"
ErrConfigMydumperCfgConflict,[20122:config:internal:medium],"mydumper-config-name and mydumper should only specify one"
ErrConfigLoaderCfgConflict,[20123:config:internal:medium],"loader-config-name and loader should only specify one"
ErrConfigSyncerCfgConflict,[20124:config:internal:medium],"syncer-config-name and syncer should only specify one"
ErrConfigReadTaskCfgFromFile,[20125:config:internal:medium],"read config file %v"
ErrConfigNeedUniqueTaskName,[20126:config:internal:medium],"must specify a unique task name"
ErrConfigInvalidTaskMode,[20127:config:internal:medium],"please specify right task-mode, support `full`, `incremental`, `all`"
ErrConfigNeedTargetDB,[20128:config:internal:medium],"must specify target-database"
ErrConfigMetadataNotSet,[20129:config:internal:medium],"mysql-instance(%d) must set meta for task-mode %s"
ErrConfigRouteRuleNotFound,[20130:config:internal:medium],"mysql-instance(%d)'s route-rules %s not exist in routes"
ErrConfigFilterRuleNotFound,[20131:config:internal:medium],"mysql-instance(%d)'s filter-rules %s not exist in filters"
ErrConfigColumnMappingNotFound,[20132:config:internal:medium],"mysql-instance(%d)'s column-mapping-rules %s not exist in column-mapping"
ErrConfigBWListNotFound,[20133:config:internal:medium],"mysql-instance(%d)'s list %s not exist in black white list"
ErrConfigMydumperCfgNotFound,[20134:config:internal:medium],"mysql-instance(%d)'s mydumper config %s not exist in mydumpers"
ErrConfigMydumperPathNotValid,[20135:config:internal:medium],"mysql-instance(%d)'s mydumper-path must specify a valid path to mydumper binary when task-mode is all or full"
ErrConfigLoaderCfgNotFound,[20136:config:internal:medium],"mysql-instance(%d)'s loader config %s not exist in loaders"
ErrConfigSyncerCfgNotFound,[20137:config:internal:medium],"mysql-instance(%d)'s syncer config %s not exist in syncer"
ErrConfigSourceIDNotFound,[20138:config:internal:medium],"source %s in deployment configuration not found"
ErrBinlogExtractPosition,[22139:binlog-op:internal:high],""
ErrBinlogInvalidFilename,[22140:binlog-op:internal:high],"invalid binlog filename"
ErrBinlogParsePosFromStr,[22141:binlog-op:internal:high],""
ErrCheckpointInvalidTaskMode,[24142:checkpoint:internal:medium],"invalid task mode: %s"
ErrCheckpointSaveInvalidPos,[24143:checkpoint:internal:high],"save point %v is older than current pos %v"
ErrCheckpointInvalidTableFile,[24144:checkpoint:internal:medium],"invalid db table sql file - %s"
ErrCheckpointDBNotExistInFile,[24145:checkpoint:internal:medium],"db (%s) not exist in data files, but in checkpoint"
ErrCheckpointTableNotExistInFile,[24146:checkpoint:internal:medium],"table (%s) not exist in db (%s) data files, but in checkpoint"
ErrCheckpointRestoreCountGreater,[24147:checkpoint:internal:medium],"restoring count greater than total count for table[%v]"
ErrTaskCheckSameTableName,[26148:task-check:internal:medium],"same table name in case-sensitive %v"
ErrTaskCheckFailedOpenDB,[26149:task-check:internal:high],"failed to open DSN %s:***@%s:%d"
ErrTaskCheckNewTableRouter,[26150:task-check:internal:medium],"new table router error"
ErrTaskCheckNewColumnMapping,[26151:task-check:internal:medium],"new column mapping error"
ErrTaskCheckSyncConfigError,[26152:task-check:internal:medium],"%s %v: %v\n detail: %v"
ErrRelayParseUUIDIndex,[28153:relay-api:internal:high],"parse server-uuid.index"
ErrRelayParseUUIDSuffix,[28154:relay-api:internal:high],"UUID (with suffix) %s not valid"
ErrRelayUUIDWithSuffixNotFound,[28155:relay-api:internal:high],"no UUID (with suffix) matched %s found in %s, all UUIDs are %v"
ErrRelayGenFakeRotateEvent,[28156:relay-api:internal:high],"generate fake rotate event"
ErrRelayNoValidRelaySubDir,[28157:relay-api:internal:high],"no valid relay sub directory exists"
ErrRelayUUIDSuffixNotValid,[30158:relay-unit:internal:high],"UUID %s suffix %d should be 1 larger than previous suffix %d"
ErrRelayUUIDSuffixLessThanPrev,[30159:relay-unit:internal:high],"previous UUID %s has suffix larger than %s"
ErrRelayLoadMetaData,[30160:relay-unit:internal:high],"load meta data"
ErrRelayBinlogNameNotValid,[30161:relay-unit:internal:high],"relay-binlog-name %s not valid"
ErrRelayNoCurrentUUID,[30162:relay-unit:internal:high],"no current UUID set"
ErrRelayFlushLocalMeta,[30163:relay-unit:internal:high],"flush local meta"
ErrRelayUpdateIndexFile,[30164:relay-unit:internal:high],"update UUID index file %s"
ErrRelayLogDirpathEmpty,[30165:relay-unit:internal:high],"dirpath is empty"
ErrRelayReaderNotStateNew,[30166:relay-unit:internal:high],"stage %s, expect %s, already started"
ErrRelayReaderStateCannotClose,[30167:relay-unit:internal:high],"stage %s, expect %s, can not close"
ErrRelayReaderNeedStart,[30168:relay-unit:internal:high],"stage %s, expect %s, please start the reader first"
ErrRelayTCPReaderStartSync,[30169:relay-unit:upstream:high],"start sync from position %s"
ErrRelayTCPReaderNilGTID,[30170:relay-unit:internal:high],"nil GTID set not valid"
ErrRelayTCPReaderStartSyncGTID,[30171:relay-unit:upstream:high],"start sync from GTID set %s"
ErrRelayTCPReaderGetEvent,[30172:relay-unit:upstream:high],"TCPReader get event"
ErrRelayWriterNotStateNew,[30173:relay-unit:internal:high],"stage %s, expect %s, already started"
ErrRelayWriterStateCannotClose,[30174:relay-unit:internal:high],"stage %s, expect %s, can not close"
ErrRelayWriterNeedStart,[30175:relay-unit:internal:high],"stage %s, expect %s, please start the writer first"
ErrRelayWriterNotOpened,[30176:relay-unit:internal:high],"no underlying writer opened"
ErrRelayWriterExpectRotateEv,[30177:relay-unit:internal:high],"except RotateEvent, but got %+v"
ErrRelayWriterRotateEvWithNoWriter,[30178:relay-unit:internal:high],"non-fake RotateEvent %+v received, but no binlog file opened"
ErrRelayWriterStatusNotValid,[30179:relay-unit:internal:high],"invalid status type %T of the underlying writer"
ErrRelayWriterGetFileStat,[30180:relay-unit:internal:high],"get stat for %s"
ErrRelayWriterLatestPosGTFileSize,[30181:relay-unit:internal:high],"latest pos %d greater than file size %d, should not happen"
ErrRelayWriterFileOperate,[30182:relay-unit:internal:high],""
ErrRelayCheckBinlogFileHeaderExist,[30183:relay-unit:internal:high],""
ErrRelayCheckFormatDescEventExist,[30184:relay-unit:internal:high],""
ErrRelayCheckFormatDescEventParseEv,[30185:relay-unit:internal:high],"parse %s"
ErrRelayCheckIsDuplicateEvent,[30186:relay-unit:internal:high],""
ErrRelayUpdateGTID,[30187:relay-unit:internal:high],"update GTID set %v with GTID %s"
ErrRelayNeedPrevGTIDEvBeforeGTIDEv,[30188:relay-unit:internal:high],"should have a PreviousGTIDsEvent before the GTIDEvent %+v"
ErrRelayNeedMaGTIDListEvBeforeGTIDEv,[30189:relay-unit:internal:high],"should have a MariadbGTIDListEvent before the MariadbGTIDEvent %+v"
ErrRelayMkdir,[30190:relay-unit:internal:high],"relay mkdir"
ErrRelaySwitchMasterNeedGTID,[30191:relay-unit:internal:high],"can only switch relay's master server when GTID enabled"
ErrRelayThisStrategyIsPurging,[30192:relay-unit:internal:high],"this strategy is purging"
ErrRelayOtherStrategyIsPurging,[30193:relay-unit:internal:high],"%s is purging"
ErrRelayPurgeIsForbidden,[30194:relay-unit:internal:high],"relay log purge is forbidden temporarily, because %s, please try again later"
ErrRelayNoActiveRelayLog,[30195:relay-unit:internal:high],"no active relay log file found"
ErrRelayPurgeRequestNotValid,[30196:relay-unit:internal:high],"request %+v not valid"
ErrRelayTrimUUIDNotFound,[30197:relay-unit:internal:high],"UUID %s in UUIDs %v not found"
ErrRelayRemoveFileFail,[30198:relay-unit:internal:high],"remove relay log %s %s"
ErrRelayPurgeArgsNotValid,[30199:relay-unit:internal:high],"args (%T) %+v not valid"
ErrPreviousGTIDsNotValid,[30200:relay-unit:internal:high],"previousGTIDs %s not valid"
ErrDumpUnitRuntime,[32201:dump-unit:internal:high],"mydumper runs with error"
ErrLoadUnitCreateSchemaFile,[34202:load-unit:internal:medium],"generate schema file"
ErrLoadUnitInvalidFileEnding,[34203:load-unit:internal:high],"coresponding ending of sql: ')' not found"
ErrLoadUnitParseQuoteValues,[34204:load-unit:internal:high],"parse quote values error"
ErrLoadUnitDoColumnMapping,[34205:load-unit:internal:high],"mapping row data %v for table %+v"
ErrLoadUnitReadSchemaFile,[34206:load-unit:internal:high],"read schema from sql file"
ErrLoadUnitParseStatement,[34207:load-unit:internal:high],"parse statement %s"
ErrLoadUnitNotCreateTable,[34208:load-unit:internal:high],"statement %s for %s/%s is not create table statement"
ErrLoadUnitDispatchSQLFromFile,[34209:load-unit:internal:high],"dispatch sql"
ErrLoadUnitInvalidInsertSQL,[34210:load-unit:internal:high],"invalid insert sql %s"
ErrLoadUnitGenTableRouter,[34211:load-unit:internal:high],"generate table router"
ErrLoadUnitNewColumnMapping,[34212:load-unit:internal:high],"new column mapping"
ErrLoadUnitNoDBFile,[34213:load-unit:internal:high],"invalid data sql file, cannot find db - %s"
ErrLoadUnitNoTableFile,[34214:load-unit:internal:high],"invalid data sql file, cannot find table - %s"
ErrLoadUnitDumpDirNotFound,[34215:load-unit:internal:high],"%s does not exist or it's not a dir"
ErrLoadUnitDuplicateTableFile,[34216:load-unit:internal:high],"invalid table schema file, duplicated item - %s"
ErrSyncerUnitPanic,[36217:sync-unit:internal:high],"panic error: %v"
ErrSyncUnitInvalidTableName,[36218:sync-unit:internal:high],"extract table name for DML error: %s"
ErrSyncUnitTableNameQuery,[36219:sync-unit:internal:high],"table name parse error: %s"
ErrSyncUnitNotSupportedDML,[36220:sync-unit:internal:high],"DMLNode %v not supported"
ErrSyncUnitAddTableInSharding,[36221:sync-unit:internal:medium],"in sequence sharding, add table, activeDDL: %s, sharding sequence: %s not supported"
ErrSyncUnitDropSchemaTableInSharding,[36222:sync-unit:internal:medium],"in sequence sharding try drop sources %v not supported, activeDDL: %s, sharding sequence: %s"
ErrSyncUnitInvalidShardMeta,[36223:sync-unit:internal:high],"invalid sharding meta data"
ErrSyncUnitDDLWrongSequence,[36224:sync-unit:internal:high],"detect inconsistent DDL sequence from source %+v, right DDL sequence should be %+v"
ErrSyncUnitDDLActiveIndexLarger,[36225:sync-unit:internal:high],"activeIdx %d larger than length of global DDLItems: %v"
ErrSyncUnitDupTableGroup,[36226:sync-unit:internal:high],"table group %s exists"
ErrSyncUnitShardingGroupNotFound,[36227:sync-unit:internal:high],"sharding group for `%s`.`%s` not found"
ErrSyncUnitSafeModeSetCount,[36228:sync-unit:internal:high],""
ErrSyncUnitCausalityConflict,[36229:sync-unit:internal:high],"some conflicts in causality, must be resolved"
ErrSyncUnitDMLStatementFound,[36230:sync-unit:internal:high],"only support ROW format binlog, unexpected DML statement found in query event"
ErrSyncerUnitBinlogEventFilter,[36231:sync-unit:internal:high],""
ErrSyncerUnitInvalidReplicaEvent,[36232:sync-unit:internal:high],"invalid replication event type %v"
ErrSyncerUnitParseStmt,[36233:sync-unit:internal:high],""
ErrSyncerUnitUUIDNotLatest,[36234:sync-unit:internal:high],"UUID %s not the latest one in UUIDs %v"
ErrSyncerUnitDDLExecChanCloseOrBusy,[36235:sync-unit:internal:high],"the chan has closed or already in sending"
ErrSyncerUnitDDLChanDone,[36236:sync-unit:internal:high],"canceled from external"
ErrSyncerUnitDDLChanCanceled,[36237:sync-unit:internal:high],"canceled by Close or Renew"
ErrSyncerUnitDDLOnMultipleTable,[36238:sync-unit:internal:high],"ddl on multiple table: %s"
ErrSyncerUnitInjectDDLOnly,[36239:sync-unit:internal:low],"only support inject DDL for sharding group to be synced currently, but got %s"
ErrSyncerUnitInjectDDLWithoutSchema,[36240:sync-unit:internal:low],"injected DDL %s without schema name not valid"
ErrSyncerUnitNotSupportedOperate,[36241:sync-unit:internal:medium],"op %s not supported"
ErrSyncerUnitNilOperatorReq,[36242:sync-unit:internal:medium],"nil request not valid"
ErrSyncerUnitDMLColumnNotMatch,[36243:sync-unit:internal:high],"Column count doesn't match value count: %d (columns) vs %d (values)"
ErrSyncerUnitDMLOldNewValueMismatch,[36244:sync-unit:internal:high],"Old value count doesn't match new value count: %d (old) vs %d (new)"
ErrSyncerUnitDMLPruneColumnMismatch,[36245:sync-unit:internal:high],"prune DML columns and data mismatch in length: %d (columns) %d (data)"
ErrSyncerUnitNewBinlogEventFilter,[36246:sync-unit:internal:high],"new binlog event filter"
ErrSyncerUnitGenTableRouter,[36247:sync-unit:internal:high],"generate table router"
ErrSyncerUnitNewColumnMapping,[36248:sync-unit:internal:high],"new column mapping"
ErrSyncerUnitDoColumnMapping,[36249:sync-unit:internal:high],"mapping row data %v for table `%s`.`%s`"
ErrSyncerUnitCacheKeyNotFound,[36250:sync-unit:internal:high],"cache key %s in %s not found"
ErrSyncerUnitHeartbeatCheckConfig,[36251:sync-unit:internal:medium],""
ErrSyncerUnitHeartbeatRecordExists,[36252:sync-unit:internal:medium],"heartbeat slave record for task %s already exists"
ErrSyncerUnitHeartbeatRecordNotFound,[36253:sync-unit:internal:medium],"heartbeat slave record for task %s not found"
ErrSyncerUnitHeartbeatRecordNotValid,[36254:sync-unit:internal:medium],"heartbeat record %s not valid"
ErrSyncerUnitOnlineDDLInvalidMeta,[36255:sync-unit:internal:high],"online ddl meta invalid"
ErrSyncerUnitOnlineDDLSchemeNotSupport,[36256:sync-unit:internal:high],"online ddl scheme (%s) not supported"
ErrSyncerUnitOnlineDDLOnMultipleTable,[36257:sync-unit:internal:high],"online ddl changes on multiple table: %s not supported"
ErrSyncerUnitGhostApplyEmptyTable,[36258:sync-unit:internal:high],"empty tables not valid"
ErrSyncerUnitGhostRenameTableNotValid,[36259:sync-unit:internal:high],"tables should contain old and new table name"
ErrSyncerUnitGhostRenameToGhostTable,[36260:sync-unit:internal:high],"rename table to ghost table %s not supported"
ErrSyncerUnitGhostRenameGhostTblToOther,[36261:sync-unit:internal:high],"rename ghost table to other ghost table %s not supported"
ErrSyncerUnitGhostOnlineDDLOnGhostTbl,[36262:sync-unit:internal:high],"online ddls on ghost table `%s`.`%s`"
ErrSyncerUnitPTApplyEmptyTable,[36263:sync-unit:internal:high],"empty tables not valid"
ErrSyncerUnitPTRenameTableNotValid,[36264:sync-unit:internal:high],"tables should contain old and new table name"
ErrSyncerUnitPTRenameToGhostTable,[36265:sync-unit:internal:high],"rename table to ghost table %s not supported"
ErrSyncerUnitPTRenameGhostTblToOther,[36266:sync-unit:internal:high],"rename ghost table to other ghost table %s not supported"
ErrSyncerUnitPTOnlineDDLOnGhostTbl,[36267:sync-unit:internal:high],"online ddls on ghost table `%s`.`%s`"
ErrSyncerUnitRemoteSteamerWithGTID,[36268:sync-unit:internal:high],"open remote streamer with GTID mode not supported"
ErrSyncerUnitRemoteSteamerStartSync,[36269:sync-unit:internal:high],"start syncing binlog from remote streamer"
ErrSyncerUnitGetTableFromDB,[36270:sync-unit:internal:high],"invalid table `%s`.`%s`"
ErrSyncerUnitFirstEndPosNotFound,[36271:sync-unit:internal:high],"no valid End_log_pos of the first DDL exists for sharding group with source %s"
ErrSyncerUnitResolveCasualityFail,[36272:sync-unit:internal:high],"resolve karam error %v"
ErrSyncerUnitReopenStreamNotSupport,[36273:sync-unit:internal:high],"reopen %T not supported"
ErrSyncerUnitUpdateConfigInSharding,[36274:sync-unit:internal:high],"try update config when some tables' (%v) sharding DDL not synced not supported"
ErrSyncerUnitExecWithNoBlockingDDL,[36275:sync-unit:internal:high],"process unit not waiting for sharding DDL to sync"
ErrMasterSQLOpNilRequest,[38276:dm-master:internal:medium],"nil request not valid"
ErrMasterSQLOpNotSupport,[38277:dm-master:internal:medium],"op %s not supported"
ErrMasterSQLOpWithoutSharding,[38278:dm-master:internal:medium],"operate request without --sharding specified not valid"
ErrMasterGRPCCreateConn,[38279:dm-master:internal:high],"create grpc connection"
ErrMasterGRPCSendOnCloseConn,[38280:dm-master:internal:high],"send request on a closed client"
ErrMasterGRPCClientClose,[38281:dm-master:internal:high],"close rpc client"
ErrMasterGRPCInvalidReqType,[38282:dm-master:internal:high],"invalid request type: %v"
ErrMasterGRPCRequestError,[38283:dm-master:internal:high],"grpc request error"
ErrMasterDeployMapperVerify,[38284:dm-master:internal:high],"user should specify valid relation between source(mysql/mariadb) and dm-worker, config %+v not valid"
ErrMasterConfigParseFlagSet,[38285:dm-master:internal:medium],"parse config flag set"
ErrMasterConfigUnknownItem,[38286:dm-master:internal:medium],"master config contained unknown configuration options: %s"
ErrMasterConfigInvalidFlag,[38287:dm-master:internal:medium],"'%s' is an invalid flag"
ErrMasterConfigTomlTransform,[38288:dm-master:internal:medium],"config toml transform"
ErrMasterConfigTimeoutParse,[38289:dm-master:internal:medium],"parse rpc timeout str"
ErrMasterConfigUpdateCfgFile,[38290:dm-master:internal:high],"update config file"
ErrMasterShardingDDLDiff,[38291:dm-master:internal:high],"sharding ddls in ddl lock %s is different with %s"
ErrMasterStartService,[38292:dm-master:internal:high],"start server"
ErrMasterNoEmitToken,[38293:dm-master:internal:high],"fail to get emit opportunity for worker %s"
ErrMasterLockNotFound,[38294:dm-master:internal:high],"lock with ID %s not found"
ErrMasterLockIsResolving,[38295:dm-master:internal:high],"lock %s is resolving"
ErrMasterWorkerCliNotFound,[38296:dm-master:internal:high],"worker %s relevant worker-client not found"
ErrMasterWorkerNotWaitLock,[38297:dm-master:internal:high],"worker %s not waiting for DDL lock %s"
ErrMasterHandleSQLReqFail,[38298:dm-master:internal:high],"request DDL lock %s owner %s handle SQLs request %s fail %s"
ErrMasterOwnerExecDDL,[38299:dm-master:internal:high],"owner %s ExecuteDDL fail"
ErrMasterPartWorkerExecDDLFail,[38300:dm-master:internal:high],"DDL lock %s owner ExecuteDDL successfully, so DDL lock removed. but some dm-workers ExecuteDDL fail, you should to handle dm-worker directly"
ErrMasterWorkerExistDDLLock,[38301:dm-master:internal:high],"worker %s exist ddl lock, please unlock ddl lock first"
ErrMasterGetWorkerCfgExtractor,[38302:dm-master:internal:high],""
ErrMasterTaskConfigExtractor,[38303:dm-master:internal:high],""
ErrMasterWorkerArgsExtractor,[38304:dm-master:internal:high],""
ErrMasterQueryWorkerConfig,[38305:dm-master:internal:high],""
